,TP9,AF7,AF8,TP10
0,-75.1953125,-57.6171875,-479.98046875,-65.91796875
1,-81.54296875,-8.30078125,-390.13671875,-67.3828125
2,-82.51953125,-26.85546875,-398.4375,-68.84765625
3,-86.42578125,-66.40625,-465.8203125,-73.73046875
4,-88.37890625,-74.70703125,-458.984375,-78.61328125
5,-85.44921875,-51.7578125,-416.9921875,-81.54296875
6,-86.42578125,-2.44140625,-348.14453125,-77.1484375
7,-88.8671875,-115.72265625,-442.87109375,-75.1953125
8,-89.84375,-83.0078125,-480.46875,-71.77734375
9,-86.42578125,94.7265625,-193.84765625,-75.1953125
10,-71.77734375,-29.296875,-247.55859375,-86.42578125
11,-75.1953125,-51.26953125,-364.2578125,-84.47265625
12,-85.44921875,13.671875,-278.80859375,-75.1953125
13,-75.1953125,4.39453125,-241.69921875,-76.171875
14,-68.359375,-28.80859375,-305.17578125,-73.2421875
15,-67.87109375,8.30078125,-282.71484375,-74.21875
16,-61.5234375,24.4140625,-238.28125,-71.77734375
17,-50.78125,-22.94921875,-284.1796875,-76.171875
18,-55.17578125,-5.859375,-248.53515625,-75.1953125
19,-56.640625,-20.99609375,-321.77734375,-61.5234375
20,-58.10546875,70.80078125,-219.23828125,-62.01171875
21,-66.89453125,43.9453125,-140.13671875,-69.3359375
22,-65.4296875,-34.66796875,-275.390625,-73.2421875
23,-64.94140625,47.8515625,-198.2421875,-78.125
24,-66.40625,75.1953125,-114.74609375,-79.1015625
25,-46.38671875,30.2734375,-165.0390625,-75.68359375
26,-60.05859375,-21.484375,-256.8359375,-82.03125
27,-75.1953125,2.44140625,-230.95703125,-84.9609375
28,-68.84765625,22.4609375,-182.12890625,-82.51953125
29,-81.54296875,2.44140625,-214.35546875,-86.9140625
30,-78.61328125,-46.875,-276.3671875,-81.54296875
31,-64.94140625,1.953125,-216.796875,-72.265625
32,-63.4765625,120.1171875,-6.8359375,-74.21875
33,-62.5,21.484375,-79.1015625,-76.66015625
34,-66.40625,4.8828125,-158.203125,-73.2421875
35,-67.3828125,39.55078125,-104.98046875,-68.359375
36,-58.59375,18.5546875,-82.51953125,-68.84765625
37,-62.01171875,8.30078125,-75.1953125,-72.75390625
38,-70.80078125,-11.71875,-113.28125,-71.77734375
39,-63.96484375,46.875,-20.99609375,-65.91796875
40,-51.7578125,1.953125,12.6953125,-62.98828125
41,-57.6171875,-64.94140625,-79.58984375,-61.5234375
42,-64.94140625,3.90625,-6.34765625,-68.359375
43,-54.19921875,24.90234375,73.2421875,-65.4296875
44,-45.8984375,-25.87890625,43.9453125,-61.5234375
45,-48.828125,-83.984375,-21.97265625,-60.05859375
46,-53.7109375,-110.3515625,-115.72265625,-47.36328125
47,-59.5703125,-1.46484375,51.26953125,-55.17578125
48,-49.31640625,-24.4140625,139.16015625,-63.4765625
49,-39.0625,-137.6953125,-40.0390625,-54.6875
50,-46.38671875,-153.3203125,-93.26171875,-55.17578125
51,-52.24609375,-61.03515625,52.734375,-56.640625
52,-54.19921875,-56.640625,92.7734375,-55.17578125
53,-45.8984375,-204.1015625,-99.609375,-44.921875
54,-46.38671875,-178.22265625,-172.8515625,-45.8984375
55,-59.5703125,16.11328125,105.95703125,-65.4296875
