TP9,AF7,AF8,TP10,board_ts,unix_ts
-28.3203125,-82.03125,308.59375,-22.94921875,1758405222.0303466,1758405222.0542822
-23.92578125,168.45703125,521.97265625,-20.5078125,1758405222.03413,1758405222.0581884
-22.94921875,311.5234375,548.828125,-19.53125,1758405222.0379138,1758405222.0620947
-13.671875,-8.7890625,289.0625,-3.41796875,1758405222.0416973,1758405222.066001
-21.484375,-300.29296875,173.828125,1.953125,1758405222.0454807,1758405222.0699072
-32.71484375,-184.5703125,336.9140625,-8.7890625,1758405222.0492642,1758405222.0738134
-34.66796875,74.70703125,519.04296875,-19.04296875,1758405222.0530477,1758405222.0777197
-34.66796875,-87.890625,361.328125,-21.484375,1758405222.0568311,1758405222.081626
-29.78515625,-901.3671875,-284.1796875,-8.7890625,1758405222.0606146,1758405222.0855322
-18.5546875,-203.125,364.2578125,-10.25390625,1758405222.0643983,1758405222.0894384
-13.671875,552.24609375,941.89453125,-20.5078125,1758405222.0681818,1758405222.0933447
-31.25,132.32421875,507.32421875,-30.76171875,1758405222.0719652,1758405222.097251
-39.0625,126.953125,462.40234375,-41.50390625,1758405222.0757203,1758405222.1011572
-31.25,519.53125,725.09765625,-39.0625,1758405222.0794752,1758405222.1050634
-22.94921875,506.8359375,667.96875,-31.73828125,1758405222.08323,1758405222.1089697
-28.80859375,213.8671875,422.36328125,-22.94921875,1758405222.086985,1758405222.112876
-29.296875,229.98046875,419.921875,-25.390625,1758405222.0907402,1758405222.1167822
-20.5078125,156.25,390.625,-34.66796875,1758405222.094495,1758405222.1206884
-11.71875,46.875,372.0703125,-23.4375,1758405222.09825,1758405222.1245947
-12.6953125,-471.6796875,11.23046875,-13.18359375,1758405222.102005,1758405222.128501
-20.99609375,-389.16015625,109.375,-18.06640625,1758405222.10576,1758405222.1324072
-15.13671875,474.12109375,689.94140625,-24.90234375,1758405222.109515,1758405222.1363134
-8.7890625,194.3359375,413.57421875,-17.08984375,1758405222.1132698,1758405222.1402197
-25.390625,-100.09765625,224.609375,-16.6015625,1758405222.117025,1758405222.144126
-30.76171875,247.0703125,468.26171875,-26.85546875,1758405222.1207697,1758405222.1480322
-23.92578125,574.70703125,631.8359375,-28.3203125,1758405222.1245146,1758405222.1519384
-19.04296875,293.9453125,326.171875,-15.625,1758405222.1282594,1758405222.1558447
-12.20703125,134.27734375,187.01171875,-13.671875,1758405222.1320043,1758405222.159751
-14.6484375,378.90625,380.859375,-19.53125,1758405222.135749,1758405222.1636572
-14.16015625,171.875,250.9765625,-19.04296875,1758405222.139494,1758405222.1675634
-9.27734375,-253.90625,-7.8125,-17.578125,1758405222.1432385,1758405222.1714697
-11.23046875,-548.828125,-165.52734375,-13.18359375,1758405222.1469834,1758405222.175376
-16.6015625,94.7265625,354.00390625,-21.97265625,1758405222.1507282,1758405222.1792822
-11.23046875,526.85546875,593.75,-27.34375,1758405222.154473,1758405222.1831884
-7.32421875,190.91796875,311.5234375,-28.80859375,1758405222.158218,1758405222.1870947
-7.8125,182.12890625,313.96484375,-24.4140625,1758405222.1619627,1758405222.191001
-10.25390625,212.890625,285.15625,-18.06640625,1758405222.1658218,1758405222.1949072
-20.01953125,263.18359375,277.83203125,-17.578125,1758405222.1696806,1758405222.1988134
-22.94921875,-62.98828125,38.57421875,-9.765625,1758405222.1735396,1758405222.2027197
